,precision,recall,f1-score,support
V6,0.2,0.25,0.2222222222222222,16.0
V8,0.3125,0.2777777777777778,0.29411764705882354,18.0
inline-4,0.1875,0.3333333333333333,0.24,18.0
inline-6,0.5,0.16666666666666666,0.25,18.0
single-cylinder,0.21428571428571427,0.16666666666666666,0.1875,18.0
accuracy,0.23863636363636365,0.23863636363636365,0.23863636363636365,0.23863636363636365
macro avg,0.2828571428571428,0.23888888888888893,0.23876797385620913,88.0
weighted avg,0.28474025974025974,0.23863636363636365,0.2391440136660725,88.0
