,precision,recall,f1-score,support
V6,0.16666666666666666,0.0625,0.09090909090909091,16.0
V8,0.30434782608695654,0.3888888888888889,0.34146341463414637,18.0
inline-4,0.21428571428571427,0.3333333333333333,0.2608695652173913,18.0
inline-6,0.6666666666666666,0.1111111111111111,0.19047619047619047,18.0
single-cylinder,0.2857142857142857,0.4444444444444444,0.34782608695652173,18.0
accuracy,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727
macro avg,0.3275362318840579,0.26805555555555555,0.24630886963866816,88.0
weighted avg,0.3311923583662714,0.2727272727272727,0.24984068279161306,88.0
