,precision,recall,f1-score,support
V6,0.2,0.125,0.15384615384615385,16.0
V8,0.22580645161290322,0.3888888888888889,0.2857142857142857,18.0
inline-4,0.20833333333333334,0.2777777777777778,0.23809523809523808,18.0
inline-6,0.6,0.16666666666666666,0.2608695652173913,18.0
single-cylinder,0.2222222222222222,0.2222222222222222,0.2222222222222222,18.0
accuracy,0.23863636363636365,0.23863636363636365,0.23863636363636365,0.23863636363636365
macro avg,0.2912724014336917,0.23611111111111108,0.23214949301905827,88.0
weighted avg,0.2933467741935484,0.23863636363636365,0.23392911436389696,88.0
