,precision,recall,f1-score,support
V6,0.375,0.1875,0.25,16.0
V8,0.22727272727272727,0.2777777777777778,0.25,18.0
inline-4,0.29411764705882354,0.5555555555555556,0.38461538461538464,18.0
inline-6,0.5,0.05555555555555555,0.1,18.0
single-cylinder,0.36363636363636365,0.4444444444444444,0.4,18.0
accuracy,0.3068181818181818,0.3068181818181818,0.3068181818181818,0.3068181818181818
macro avg,0.35200534759358293,0.3041666666666667,0.27692307692307694,88.0
weighted avg,0.3514827418570734,0.3068181818181818,0.27753496503496505,88.0
