,precision,recall,f1-score,support
V6,0.2857142857142857,0.125,0.17391304347826086,16.0
V8,0.2631578947368421,0.2777777777777778,0.2702702702702703,18.0
inline-4,0.2857142857142857,0.5555555555555556,0.37735849056603776,18.0
inline-6,0.5,0.05555555555555555,0.1,18.0
single-cylinder,0.36,0.5,0.4186046511627907,18.0
accuracy,0.3068181818181818,0.3068181818181818,0.3068181818181818,0.3068181818181818
macro avg,0.33891729323308273,0.30277777777777776,0.2680292910954719,88.0
weighted avg,0.34012645249487355,0.3068181818181818,0.2701682967231358,88.0
