freq_hz,alpha_-2,alpha_-1,alpha_0,alpha_1,alpha_2
0.0,0.0,0.0,0.0,0.0,0.0
10.7666015625,4.352176423551941,1.3947199456529722,0.5191049928821527,0.20793608037271905,0.08975895881209695
21.533203125,6.154906924027587,1.9724318628546988,0.7341253212295292,0.29406602496980117,0.12693833689521034
32.2998046875,7.538190689095368,2.4157258082006505,0.8991162221345684,0.3601558559322729,0.1554670770951301
43.06640625,8.704352847103882,2.7894398913059435,1.0382099857643046,0.41587216074543615,0.17951791762194202
53.8330078125,9.293888357922818,2.9977467034318246,1.1253158958749707,0.45509162479899234,0.19859825840799103
64.599609375,8.448468663849308,2.813882700236131,1.0980625258121932,0.4619066877242081,0.20992176579286742
75.3662109375,7.508454216318704,2.6171332414380406,1.070115300179013,0.46862265135875386,0.22066496610114403
86.1328125,6.432507028605919,2.4043371136743263,1.041418360103846,0.47524371702177,0.23090887114887093
96.8994140625,5.135894141001641,2.1707803916894943,1.011907923600537,0.4817737973061946,0.24071723304772827
107.666015625,4.182654207708622,1.9970571679846978,1.0036879021705125,0.5146744887800824,0.2788588899435905
118.4326171875,3.8672380378280486,1.9030135941776043,1.0180766227128561,0.5702561021012512,0.33665220460990564
129.19921875,3.5237003080831935,1.8040743186051011,1.0322647986177707,0.6208818040226253,0.3858848704441255
139.9658203125,3.142832747880018,1.6993844634090778,1.0462605885802814,0.6676798687612685,0.42951083758915465
150.732421875,2.7089354922383313,1.5878069661964134,1.060071612659885,0.7114060723185749,0.46909698994495297
161.4990234375,2.4057372396738925,1.4842429445567742,1.0540350295336174,0.77221191310987,0.5909561369330184
172.265625,2.1425869293368973,1.3792145731719636,1.0407893075031804,0.8350050473270224,0.71548715350736
183.0322265625,1.8422230682457763,1.2654993319766246,1.0273728250941656,0.8933955559405933,0.8213492423380977
193.798828125,1.4821919297406931,1.1405017665995267,1.0137788027331127,0.9481971365107575,0.9150449655315764
204.5654296875,1.0,1.0,1.0,1.0,1.0
215.33203125,0.9393448686697389,0.9469519844030572,0.9800221218977933,1.0431254802537089,1.1672626593207271
226.0986328125,0.8858597610285381,0.892802975897734,0.9595143416409809,1.0844279626196538,1.314803703775407
236.865234375,0.8289307872934317,0.8351504336218786,0.9385585672830421,1.1242140564271081,1.447382272614421
247.6318359375,0.7677922792241909,0.7732110577234225,0.9171240900914488,1.162639446786996,1.5687963879023439
258.3984375,0.704962817553577,0.7133677774508088,0.8935360162619111,1.1895918859668377,1.6690545395768706
269.1650390625,0.6494188740663712,0.675409798526332,0.863549755878926,1.1812282514072774,1.7230645200907142
279.931640625,0.588657093607305,0.6351875360754925,0.8324840835715112,1.172804974702634,1.775432236022716
290.6982421875,0.5208545610002561,0.5922398298205974,0.8002132952664838,1.164320761410618,1.8262989648526646
301.46484375,0.442788633069234,0.5459238280806246,0.7665852114687516,1.1557742695770468,1.8757868197999337
312.2314453125,0.38886500732435253,0.5100103940707982,0.736999643775551,1.1397226756409864,1.8940495372983193
322.998046875,0.37451574620959294,0.48855943335741747,0.712626033097186,1.1149608461606855,1.8784830583207575
333.7646484375,0.3595943470029547,0.46612234207854686,0.6873887191177742,1.0896364529385265,1.8627865017377212
344.53125,0.3440263720037107,0.442549156192913,0.6611888075980397,1.0637093168124265,1.8469565511171135
355.2978515625,0.32771968947806207,0.41764754699307116,0.6339069548565156,1.037134235176268,1.8309897466595952
366.064453125,0.31082040279464573,0.3993059625411419,0.6141407908870369,1.0187674200101908,1.824351679756866
376.8310546875,0.29305708471120706,0.3833888800889394,0.5972310840028172,1.0036028272721178,1.8214059543487493
387.59765625,0.2741451932926085,0.36678169942186956,0.5798284439099244,0.9882055523740763,1.818455457151042
398.3642578125,0.2538281290784415,0.34938602817762987,0.561887071425237,0.9725645441703705,1.8155001648988534
409.130859375,0.23173659878719666,0.33107760168981765,0.5433536028247661,0.9566678480077017,1.8125400541376007
419.8974609375,0.22175669627692066,0.32111093136484536,0.5362647081150482,0.9628388797628102,1.8639929565149997
430.6640625,0.21185961657442506,0.3111867377567509,0.5295387567906387,0.9697990875493631,1.9160351791424577
441.4306640625,0.20147695135293264,0.3009354436908014,0.5227262693963567,0.97670969691114,1.9667007585002267
452.197265625,0.19052933295919114,0.29032240144892224,0.5158238172968453,0.983571753289472,2.0160934847519636
462.9638671875,0.179753079230984,0.2801399488209824,0.5098316239048698,0.9935427862876242,2.0780012631597655
473.73046875,0.1716416506001397,0.2728262599731908,0.5075939594147094,1.0151531027112897,2.1877418523725183
484.4970703125,0.16312738258325726,0.26531103508240406,0.5053463866845468,1.0363128753926316,2.2922346248914436
495.263671875,0.15414353595331315,0.25757663430915895,0.5030887729178148,1.0570491613282356,2.392167372589121
506.0302734375,0.14460261548088485,0.2496026837747762,0.5008209823248004,1.0773864131428936,2.4880896087980093
516.796875,0.13722335350270262,0.2432248111701408,0.49955470723892653,1.0990928718632622,2.5964975926752167
527.5634765625,0.13294943625625566,0.23894891930053103,0.499500050172694,1.1224312463454171,2.7189579680431275
538.330078125,0.12853348378995957,0.2345951050235966,0.4994453871250366,1.1452941388850368,2.8361355953483955
549.0966796875,0.12396031747907002,0.23015894631139922,0.4993907180939912,1.1677094785760345,2.948660339615307
559.86328125,0.11921184573622484,0.22563558636286551,0.49933604307759155,1.1897025628904925,3.0570460385210283
570.6298828125,0.11622149391362503,0.2222760185446796,0.4971184025487699,1.1970244699512007,3.109019446994042
581.396484375,0.11400264809190433,0.2194096412453879,0.49395650401744606,1.198168735314056,3.1376436986189424
592.1630859375,0.11173975074447655,0.21650531846305088,0.49077423482659893,1.1993119089320394,3.1660091656812734
602.9296875,0.10943006908931158,0.21356150208813893,0.4875711961120449,1.2004539939241092,3.194122742612749
613.6962890625,0.10707057553483591,0.21057653579043237,0.4843469758206682,1.201594993394395,3.221991023043334
624.462890625,0.10633936297863213,0.20894077616343346,0.4801670086747512,1.1901791328136904,3.1885287832314764
635.2294921875,0.10570007339746239,0.20737287672227325,0.47589584003652874,1.177916262333917,3.1511087358448426
645.99609375,0.10505689369937929,0.2057930320889534,0.4715859888805943,1.1655243772466808,3.1132389450120055
656.7626953125,0.10440975199327487,0.20420096501402354,0.46723638476996027,1.1529993177976376,3.0749027939694678
667.529296875,0.1036121586183885,0.20239652142983786,0.46257110742451507,1.140114372910516,3.036740091268052
678.2958984375,0.10218036538020017,0.19971847118489297,0.4566792918892114,1.126128095048603,3.0009136340934712
689.0625,0.10072822208749026,0.19700401919240998,0.45071046344290777,1.1119659120667553,2.9646542625846752
699.8291015625,0.09925483555265202,0.19425163943580068,0.4446615207923998,1.097621015077201,2.927945893290177
710.595703125,0.09775924527256323,0.19145969620008524,0.4385291487346067,1.0830861442561992,2.890771421508145
721.3623046875,0.09551319969617937,0.18807768448266782,0.43317066505230556,1.0758746496598133,2.887867723923273
732.12890625,0.0922415322366411,0.1839090197594175,0.42886886095427007,1.078319917086246,2.9293006077169252
742.8955078125,0.08884947508301738,0.1796436464152811,0.4245234678207669,1.0807596519990708,2.9701555699767273
753.662109375,0.08532267093621851,0.17527450426655528,0.42013313314344314,1.083193891781807,3.010456139749721
764.4287109375,0.08164365945288368,0.17079362984138372,0.4156964329884038,1.0856226733988552,3.050224291564438
775.1953125,0.07775577049549226,0.16589740599063454,0.412356104683056,1.1015480561980584,3.1711933182223375
785.9619140625,0.07364567461355835,0.16071019090895308,0.40952596638265804,1.1234060679066824,3.3238364587457463
796.728515625,0.0692922140880251,0.15534986839248563,0.4066761330763292,1.1448468311112128,3.469770964694488
807.4951171875,0.06464624101333907,0.14979785631687997,0.40380618777599553,1.1658933656219246,3.609810561565021
818.26171875,0.05963943344034317,0.14403198917151197,0.4009156985682263,1.18656664932782,3.7446166737512447
829.0283203125,0.056476837831451424,0.13966645611846865,0.4002314552424521,1.2277849032100214,4.047041249194646
839.794921875,0.05331447288243133,0.1352923097028496,0.39972071840770396,1.2692387032904393,4.34075131150762
850.5615234375,0.04995230551265854,0.13077193569253534,0.39920932815159976,1.3093807709411158,4.615809899034764
861.328125,0.046346872961680344,0.12608960807621275,0.3986972819597999,1.3483282688908909,4.875374867607566
872.0947265625,0.042815572889048234,0.12152542808279279,0.39805619987286633,1.386653575878256,5.145720819458839
882.861328125,0.04090607283888741,0.11826227646280452,0.3967972651318645,1.4261469948599483,5.510404704898476
893.6279296875,0.038902960149295986,0.11490649414903645,0.3955343233842374,1.4645758301980005,5.852407818301993
904.39453125,0.036790947550477834,0.1114497140466563,0.39426733612350634,1.5020217953985449,6.175499537015396
915.1611328125,0.03455006997018738,0.10788222802917947,0.39299626422247985,1.5385566565142708,6.482508140498737
925.927734375,0.03281474368632415,0.10494740006248966,0.39088178103228555,1.5619844678162185,6.708720276640145
936.6943359375,0.03193290403552166,0.10300016989068053,0.3875782050193731,1.5680944855416192,6.836326231218406
947.4609375,0.03102601033149136,0.101015410780446,0.3842462273973642,1.5741807880522996,6.961593562474557
958.2275390625,0.030091797454450984,0.09899086540068144,0.38088510279633486,1.5802436493654644,7.084646322755252
968.994140625,0.029127636893194562,0.09692404062155308,0.377494052662081,1.586283338261737,7.205597970187606
979.7607421875,0.0286343541444695,0.09553936699769387,0.3730928265257531,1.571895028972054,7.158320778906986
990.52734375,0.0283890418419397,0.09450641585558728,0.3681354034784132,1.5468268702302492,7.024363010183954
1001.2939453125,0.02814159121542898,0.09346204913984266,0.3631103047056811,1.521345703916622,6.8878004489059945
1012.060546875,0.027891945352969478,0.09240587979651509,0.3580146805267783,1.495430418035161,6.748474964690813
1022.8271484375,0.027640044772151293,0.09133749839204731,0.35284547547322975,1.4690580381809517,6.606211749116713
1033.59375,0.027643822413238792,0.09076257204367723,0.3484843142650908,1.4424698923539767,6.450678522982928
1044.3603515625,0.027707136187602403,0.09030180876184041,0.3442756016841582,1.4154453891775935,6.2888860257911965
1055.126953125,0.027770305612549485,0.08983868235529414,0.3400147975326479,1.3878947759612497,6.12281973308951
1065.8935546875,0.02783333167131452,0.0893731560873439,0.3356999183308604,1.3597860745488406,5.952121934438912
1076.66015625,0.027896215335106042,0.0889051922594425,0.3313288514354353,1.331083929710429,5.776382047696234
1087.4267578125,0.02778690215011298,0.08819936383879297,0.3273481305899409,1.309581935405305,5.658703004885871
1098.193359375,0.02758430052344852,0.08736062206114141,0.3235612390936495,1.2919629481208208,5.572974161036255
1108.9599609375,0.027380199773320256,0.08651374915150956,0.3197294986186076,1.2741003387073475,5.485905786800477
1119.7265625,0.027174566121531362,0.08565850394206036,0.3158512769168345,1.255983712820877,5.397433056900688
