,precision,recall,f1-score,support
V6,0.3888888888888889,0.6363636363636364,0.4827586206896552,11.0
V8,0.5,0.25,0.3333333333333333,12.0
inline-4,0.3076923076923077,0.3076923076923077,0.3076923076923077,13.0
inline-6,0.15384615384615385,0.2,0.17391304347826086,10.0
single-cylinder,0.375,0.25,0.3,12.0
accuracy,0.3275862068965517,0.3275862068965517,0.3275862068965517,0.3275862068965517
macro avg,0.3450854700854701,0.3288111888111888,0.3195394610387114,58.0
weighted avg,0.35027998821102274,0.3275862068965517,0.3215426769373934,58.0
