class,r,median_deg,p25_deg,p75_deg,n_train_clips
V6,5,14.315717220306396,10.951160192489624,18.571661949157715,43
V8,5,14.811114311218262,11.161733388900757,20.789325714111328,48
inline-4,5,11.422607898712158,8.563928365707397,18.503665447235107,47
inline-6,5,36.02326965332031,17.387317180633545,67.37022018432617,50
single-cylinder,5,14.544929027557373,10.962632417678833,18.847681522369385,47
