class,EVR_at_5,test_recon_MSE,n_train_clips
V6,0.9415247440338135,944.9629516601562,43
V8,0.9356587529182434,1091.5411376953125,48
inline-4,0.92535400390625,1169.60986328125,47
inline-6,0.9300957918167114,1320.440185546875,50
single-cylinder,0.9236858487129211,1183.62060546875,47
