,V6,V8,inline-4,inline-6,single-cylinder
V6,0.0,41.716106,61.01478,67.807274,50.814213
V8,41.716106,0.0,34.26832,77.139275,23.512585
inline-4,61.01478,34.26832,0.0,74.92233,35.63846
inline-6,67.807274,77.139275,74.92233,0.0,70.7914
single-cylinder,50.814213,23.512585,35.63846,70.7914,0.0
