fold,overall,macro
0,0.13559322033898305,0.14144522144522143
1,0.2711864406779661,0.2837975912975913
2,0.23728813559322035,0.2385103785103785
3,0.3275862068965517,0.3288111888111888
4,0.27586206896551724,0.25159340659340657
