class,EVR5_mean,EVR5_sd,test_recon_MSE_mean,test_recon_MSE_sd,avg_train_clips
V6,0.9613418936729431,0.0016096241774104384,719.9680908203125,135.78152642805898,43.2
V8,0.9535606265068054,0.0036323063108796663,698.738671875,42.17965866884259,48.0
inline-4,0.9505720973014832,0.005324980912322325,774.7243774414062,113.54785992974368,48.0
inline-6,0.9469000816345214,0.004067249873642627,837.1159057617188,104.74970988107584,48.0
single-cylinder,0.9431862354278564,0.003621346627151023,774.1244384765625,138.09800451305748,47.2
