class,median_deg,iqr25_deg,iqr75_deg
V6,14.11143684387207,10.783997297286987,18.71869945526123
V8,13.467573642730713,10.324566841125488,18.22107172012329
inline-4,13.115798950195312,9.584529399871826,18.884798526763916
inline-6,26.0418701171875,16.759275913238525,41.61813831329346
single-cylinder,13.118793964385986,10.438032388687134,17.054367065429688
