,precision,recall,f1-score,support
V6,0.0,0.0,0.0,16.0
V8,0.13043478260869565,0.3333333333333333,0.1875,18.0
inline-4,0.08333333333333333,0.05555555555555555,0.06666666666666667,18.0
inline-6,0.2222222222222222,0.3333333333333333,0.26666666666666666,18.0
single-cylinder,0.3333333333333333,0.05555555555555555,0.09523809523809523,18.0
accuracy,0.1590909090909091,0.1590909090909091,0.1590909090909091,0.1590909090909091
macro avg,0.15386473429951691,0.15555555555555553,0.12321428571428569,88.0
weighted avg,0.1573616600790514,0.1590909090909091,0.12601461038961037,88.0
