,precision,recall,f1-score,support
V6,0.0,0.0,0.0,16.0
V8,0.13333333333333333,0.3333333333333333,0.19047619047619047,18.0
inline-4,0.3,0.16666666666666666,0.21428571428571427,18.0
inline-6,0.2692307692307692,0.3888888888888889,0.3181818181818182,18.0
single-cylinder,0.42857142857142855,0.16666666666666666,0.24,18.0
accuracy,0.2159090909090909,0.2159090909090909,0.2159090909090909,0.2159090909090909
macro avg,0.22622710622710623,0.2111111111111111,0.1925887445887446,88.0
weighted avg,0.23136863136863137,0.2159090909090909,0.19696576151121603,88.0
