,precision,recall,f1-score,support
V6,0.0,0.0,0.0,16.0
V8,0.1935483870967742,0.3333333333333333,0.24489795918367346,18.0
inline-4,0.3333333333333333,0.05555555555555555,0.09523809523809523,18.0
inline-6,0.23076923076923078,0.5,0.3157894736842105,18.0
single-cylinder,0.3333333333333333,0.2777777777777778,0.30303030303030304,18.0
accuracy,0.23863636363636365,0.23863636363636365,0.23863636363636365,0.23863636363636365
macro avg,0.21819685690653431,0.2333333333333333,0.19179116622725645,88.0
weighted avg,0.22315587638168283,0.23863636363636365,0.196150056368785,88.0
