,precision,recall,f1-score,support
V6,0.0,0.0,0.0,16.0
V8,0.3055555555555556,0.6111111111111112,0.4074074074074074,18.0
inline-4,0.14705882352941177,0.2777777777777778,0.19230769230769232,18.0
inline-6,0.6153846153846154,0.4444444444444444,0.5161290322580645,18.0
single-cylinder,0.0,0.0,0.0,18.0
accuracy,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727
macro avg,0.2135997988939166,0.2666666666666667,0.22316882639463284,88.0
weighted avg,0.21845433977786916,0.2727272727272727,0.22824084517632903,88.0
