,precision,recall,f1-score,support
V6,0.5,0.0625,0.1111111111111111,16.0
V8,0.25,0.2777777777777778,0.2631578947368421,18.0
inline-4,0.2,0.16666666666666666,0.18181818181818182,18.0
inline-6,0.2,0.5555555555555556,0.29411764705882354,18.0
single-cylinder,0.0,0.0,0.0,18.0
accuracy,0.2159090909090909,0.2159090909090909,0.2159090909090909,0.2159090909090909
macro avg,0.22999999999999998,0.2125,0.17004096694499174,88.0
weighted avg,0.2238636363636364,0.2159090909090909,0.17138028185030718,88.0
