class,EVR_at_5,test_recon_MSE,n_train_clips
V6,0.9445024728775024,1367.1998291015625,44
V8,0.9266915321350098,1116.4500732421875,45
inline-4,0.9339928030967712,972.7048950195312,49
inline-6,0.9269535541534424,1143.681396484375,47
single-cylinder,0.9226067066192627,1115.7880859375,49
