class,r,median_deg,p25_deg,p75_deg,n_train_clips
V6,5,14.917673587799072,11.06954026222229,19.71187973022461,44
V8,5,14.644267559051514,10.914391994476318,21.175907135009766,45
inline-4,5,12.92280912399292,9.492005825042725,17.614027500152588,49
inline-6,5,27.91796875,18.608071327209473,40.035430908203125,47
single-cylinder,5,14.606347560882568,11.005064010620117,18.681894302368164,49
