,precision,recall,f1-score,support
V6,0.14285714285714285,0.1,0.11764705882352941,10.0
V8,0.2222222222222222,0.13333333333333333,0.16666666666666666,15.0
inline-4,0.2777777777777778,0.45454545454545453,0.3448275862068966,11.0
inline-6,0.3333333333333333,0.3076923076923077,0.32,13.0
single-cylinder,0.15384615384615385,0.2,0.17391304347826086,10.0
accuracy,0.23728813559322035,0.23728813559322035,0.23728813559322035,0.23728813559322035
macro avg,0.226007326007326,0.23911421911421912,0.22461087103507066,59.0
weighted avg,0.2320212743941557,0.23728813559322035,0.22658821137786045,59.0
