,precision,recall,f1-score,support
no,0.5491452991452992,0.5962877030162413,0.5717463848720801,431.0
yes,0.6098654708520179,0.5631469979296067,0.5855758880516685,483.0
accuracy,0.5787746170678337,0.5787746170678337,0.5787746170678337,0.5787746170678337
macro avg,0.5795053849986586,0.579717350472924,0.5786611364618743,914.0
weighted avg,0.5812326546533355,0.5787746170678337,0.579054535895867,914.0
