freq_hz,data_mean,model_mean,pca_filtered_mean
0.0,4.012538745712391e-09,1.9647521387611278e-09,3.3417648648281784e-09
10.7666015625,0.23487213253974915,0.07447263598442078,0.1303134709596634
21.533203125,0.3321593701839447,0.10532021522521973,0.1842910796403885
32.2998046875,0.4068104922771454,0.12899038195610046,0.22570954263210297
43.06640625,0.4697442650794983,0.14894527196884155,0.2606269419193268
53.8330078125,0.5061708688735962,0.16217339038848877,0.2834835946559906
64.599609375,0.4810991883277893,0.1612998992204666,0.280704140663147
75.3662109375,0.4546469449996948,0.16042165458202362,0.2777976989746094
86.1328125,0.4265575408935547,0.15953856706619263,0.2747509181499481
96.8994140625,0.3964829742908478,0.15865056216716766,0.27154606580734253
107.666015625,0.3855646848678589,0.16290464997291565,0.27737316489219666
118.4326171875,0.3961523473262787,0.17209742963314056,0.29176515340805054
129.19921875,0.4064643085002899,0.18082350492477417,0.3051438629627228
139.9658203125,0.41652101278305054,0.18914739787578583,0.317710816860199
150.732421875,0.4263404905796051,0.19712010025978088,0.3296031951904297
161.4990234375,0.44396331906318665,0.20366962254047394,0.3401245176792145
172.265625,0.46364709734916687,0.20962704718112946,0.3494938910007477
183.0322265625,0.4825284481048584,0.21541978418827057,0.35812443494796753
193.798828125,0.5006983280181885,0.22106075286865234,0.3661401867866516
204.5654296875,0.5182316303253174,0.22656135261058807,0.37362220883369446
215.33203125,0.5314468741416931,0.2280787229537964,0.374715119600296
226.0986328125,0.5442732572555542,0.22951440513134003,0.3753319978713989
236.865234375,0.5568042397499084,0.23094122111797333,0.37560662627220154
247.6318359375,0.569059431552887,0.23235930502414703,0.37554940581321716
258.3984375,0.5744767785072327,0.23219932615756989,0.3726431429386139
269.1650390625,0.5571045279502869,0.226617231965065,0.3607027232646942
279.931640625,0.5391728281974792,0.22089411318302155,0.3481355607509613
290.6982421875,0.5206239223480225,0.21501873433589935,0.33483320474624634
301.46484375,0.5013892650604248,0.20897828042507172,0.32064318656921387
312.2314453125,0.48033109307289124,0.2024765908718109,0.30679741501808167
322.998046875,0.45706918835639954,0.19543389976024628,0.29375091195106506
333.7646484375,0.43255814909935,0.1881278157234192,0.2799333333969116
344.53125,0.4065721929073334,0.1805262714624405,0.2651836574077606
355.2978515625,0.37880778312683105,0.17259027063846588,0.2492678016424179
366.064453125,0.3599841594696045,0.1664421409368515,0.23824551701545715
376.8310546875,0.344647616147995,0.16093581914901733,0.2291267365217209
387.59765625,0.3285960853099823,0.15523430705070496,0.21950501203536987
398.3642578125,0.31171905994415283,0.1493152529001236,0.20928114652633667
409.130859375,0.29387444257736206,0.1431516706943512,0.19831348955631256
419.8974609375,0.28772616386413574,0.14047718048095703,0.19430947303771973
430.6640625,0.2819284498691559,0.13789385557174683,0.1904153823852539
441.4306640625,0.27600911259651184,0.13526120781898499,0.18632689118385315
452.197265625,0.2699599266052246,0.13257630169391632,0.18201589584350586
462.9638671875,0.26563015580177307,0.1302272528409958,0.17833545804023743
473.73046875,0.2682580351829529,0.12933263182640076,0.17784462869167328
484.4970703125,0.27086034417152405,0.1284317523241043,0.17724120616912842
495.263671875,0.2734379470348358,0.1275245100259781,0.17652098834514618
506.0302734375,0.27599138021469116,0.12661074101924896,0.17567649483680725
516.796875,0.2813342809677124,0.1262233853340149,0.17604269087314606
527.5634765625,0.2898566424846649,0.12647360563278198,0.1778947412967682
538.330078125,0.2981353998184204,0.1267232745885849,0.17962981760501862
549.0966796875,0.3061904013156891,0.126972496509552,0.18125559389591217
559.86328125,0.3140389621257782,0.1272212415933609,0.18277715146541595
570.6298828125,0.31695669889450073,0.12715308368206024,0.1839228719472885
581.396484375,0.31781303882598877,0.12694892287254333,0.1848900467157364
592.1630859375,0.3186670243740082,0.12674444913864136,0.18580536544322968
602.9296875,0.3195187449455261,0.12653964757919312,0.1866704821586609
613.6962890625,0.320368230342865,0.12633450329303741,0.1874864399433136
624.462890625,0.31679287552833557,0.12589098513126373,0.18730522692203522
635.2294921875,0.31291642785072327,0.1254321038722992,0.1870523989200592
645.99609375,0.30899131298065186,0.12497152388095856,0.18678350746631622
656.7626953125,0.3050157427787781,0.12450925260782242,0.18649835884571075
667.529296875,0.3012755513191223,0.12393466383218765,0.1859235316514969
678.2958984375,0.2987217307090759,0.1228853315114975,0.18416741490364075
689.0625,0.29614588618278503,0.12182695418596268,0.18238240480422974
699.8291015625,0.2935473620891571,0.1207592785358429,0.1805669665336609
710.595703125,0.2909257411956787,0.11968212574720383,0.17871952056884766
721.3623046875,0.28879672288894653,0.11871222406625748,0.17701338231563568
732.12890625,0.2873227298259735,0.11788661777973175,0.17550650238990784
742.8955078125,0.28584110736846924,0.11705519258975983,0.17397454380989075
753.662109375,0.2843518555164337,0.11621785163879395,0.1724163144826889
764.4287109375,0.28285473585128784,0.11537439376115799,0.17083029448986053
775.1953125,0.2803550660610199,0.11467878520488739,0.16964596509933472
785.9619140625,0.27736321091651917,0.1140512228012085,0.16864284873008728
796.728515625,0.2743387520313263,0.11342021077871323,0.16762101650238037
807.4951171875,0.27128055691719055,0.11278564482927322,0.16657967865467072
818.26171875,0.2681874632835388,0.1121474951505661,0.16551794111728668
829.0283203125,0.26760008931159973,0.11191752552986145,0.16531668603420258
839.794921875,0.2672104239463806,0.11171940714120865,0.16516512632369995
850.5615234375,0.26682034134864807,0.11152099817991257,0.1649942845106125
861.328125,0.26642945408821106,0.11132217198610306,0.16480377316474915
872.0947265625,0.2661307454109192,0.11105044931173325,0.16451847553253174
882.861328125,0.26627519726753235,0.11042863130569458,0.16384705901145935
893.6279296875,0.2664196193218231,0.10980332642793655,0.1631460040807724
904.39453125,0.2665640115737915,0.1091744601726532,0.16241450607776642
915.1611328125,0.26670828461647034,0.10854192823171616,0.161651611328125
925.927734375,0.26638108491897583,0.10764914005994797,0.16047561168670654
936.6943359375,0.2653953731060028,0.10638780146837234,0.1587299406528473
947.4609375,0.2644059658050537,0.10511131584644318,0.15693922340869904
958.2275390625,0.26341283321380615,0.10381913930177689,0.15510033071041107
968.994140625,0.26241594552993774,0.10251068323850632,0.1532096564769745
979.7607421875,0.26087793707847595,0.10105022042989731,0.1510467380285263
990.52734375,0.2590562403202057,0.09949874132871628,0.14872266352176666
1001.2939453125,0.25722160935401917,0.0979226604104042,0.14634519815444946
1012.060546875,0.25537389516830444,0.09632084518671036,0.14391019940376282
1022.8271484375,0.2535126805305481,0.09469190239906311,0.1414126455783844
1033.59375,0.2522507607936859,0.09352343529462814,0.13964331150054932
1044.3603515625,0.251125305891037,0.09245476871728897,0.13802959024906158
1055.126953125,0.24999476969242096,0.09137362241744995,0.1363895684480667
1065.8935546875,0.24885910749435425,0.09027951955795288,0.1347218155860901
1076.66015625,0.2477182149887085,0.08917197585105896,0.133024662733078
1087.4267578125,0.24669502675533295,0.08833775669336319,0.13181546330451965
1098.193359375,0.2457335889339447,0.08765032887458801,0.13087143003940582
1108.9599609375,0.24476835131645203,0.08695745468139648,0.12991876900196075
1119.7265625,0.24379928410053253,0.08625902980566025,0.12895719707012177
1130.4931640625,0.24282638728618622,0.08555490523576736,0.12798646092414856
1141.259765625,0.24193324148654938,0.08498990535736084,0.12725739181041718
1152.0263671875,0.24134957790374756,0.08496268093585968,0.12745851278305054
1162.79296875,0.24076443910598755,0.08493544906377792,0.12765681743621826
1173.5595703125,0.2401779145002365,0.08490820974111557,0.12785236537456512
1184.326171875,0.2395898997783661,0.08488094061613083,0.12804512679576874
1195.0927734375,0.23900048434734344,0.08485369384288788,0.1282351166009903
1205.859375,0.23868541419506073,0.0848989486694336,0.12860460579395294
