,V6,V8,inline-4,inline-6,single-cylinder
V6,0.0,42.7242,52.204964,47.832867,53.151783
V8,42.7242,0.0,23.958508,26.669836,23.069399
inline-4,52.204964,23.958508,0.0,24.457815,27.527752
inline-6,47.832867,26.669836,24.457815,0.0,23.544657
single-cylinder,53.151783,23.069399,27.527752,23.544657,0.0
