class,theta_max_deg
V6,12.77218246459961
V6,13.050548553466797
V6,10.144003868103027
V6,11.225175857543945
V6,16.063846588134766
V6,13.040336608886719
V6,9.898707389831543
V6,18.364030838012695
V6,19.125301361083984
V6,21.527734756469727
V8,9.749754905700684
V8,20.305335998535156
V8,10.208159446716309
V8,26.287504196166992
V8,32.26897048950195
V8,47.89594650268555
V8,15.825380325317383
V8,18.9637393951416
V8,11.941606521606445
V8,18.428409576416016
inline-4,34.02897262573242
inline-4,33.30341720581055
inline-4,42.0029411315918
inline-4,28.652057647705078
inline-4,20.118505477905273
inline-4,52.387088775634766
inline-4,23.9487247467041
inline-4,54.02061462402344
inline-4,14.396041870117188
inline-4,7.999907970428467
inline-6,42.52804183959961
inline-6,64.10508728027344
inline-6,25.359342575073242
inline-6,12.367653846740723
inline-6,19.39988899230957
inline-6,52.93779754638672
inline-6,15.573847770690918
inline-6,26.196197509765625
inline-6,30.999248504638672
inline-6,89.93309020996094
single-cylinder,17.972434997558594
single-cylinder,7.896724700927734
single-cylinder,9.549789428710938
single-cylinder,14.596054077148438
single-cylinder,14.396702766418457
single-cylinder,18.550729751586914
single-cylinder,18.98276138305664
single-cylinder,11.679108619689941
single-cylinder,14.17617416381836
single-cylinder,12.243130683898926
