class,EVR_at_5,test_recon_MSE,n_train_clips
V6,0.9424377083778381,1095.5919189453125,38
V8,0.9379110336303711,1021.9251708984375,50
inline-4,0.9343387484550476,1188.9774169921875,47
inline-6,0.933221697807312,1475.5374755859375,49
single-cylinder,0.9280052781105042,1422.2908935546875,50
