,V6,V8,inline-4,inline-6,single-cylinder
V6,0.0,26.6501,42.4584,55.02332,40.82931
V8,26.6501,0.0,27.380426,36.329536,22.862816
inline-4,42.4584,27.380426,0.0,36.930466,25.571539
inline-6,55.02332,36.329536,36.930466,0.0,20.247925
single-cylinder,40.82931,22.862816,25.571539,20.247925,0.0
