class,r,median_deg,p25_deg,p75_deg,n_train_clips
V6,5,14.501088619232178,11.295448064804077,18.508142471313477,45
V8,5,13.832454681396484,10.683876276016235,19.248684883117676,47
inline-4,5,14.894710540771484,10.812005758285522,23.274016857147217,50
inline-6,5,40.083932876586914,30.2042498588562,50.630435943603516,47
single-cylinder,5,12.6545090675354,10.197758436203003,15.582099437713623,45
