class,EVR_at_5,test_recon_MSE,n_train_clips
V6,0.9456686973571777,1197.869873046875,45
V8,0.9383043050765991,1044.0609130859375,47
inline-4,0.9323145747184753,1145.433349609375,50
inline-6,0.9192302823066711,1167.6942138671875,47
single-cylinder,0.920155942440033,1053.911865234375,45
