class,theta_max_deg
V6,9.581808090209961
V6,10.276284217834473
V6,9.185791015625
V6,10.346019744873047
V6,9.632719039916992
V6,27.507064819335938
V6,15.063851356506348
V6,8.896954536437988
V6,9.351727485656738
V6,9.031352043151855
V6,23.003089904785156
V6,10.272339820861816
V6,12.470158576965332
V6,14.815322875976562
V6,7.7348456382751465
V6,9.75697135925293
V6,17.382266998291016
V6,17.760570526123047
V6,9.43077564239502
V6,10.680432319641113
V6,8.067645072937012
V6,15.17902946472168
V6,10.109352111816406
V6,12.238088607788086
V6,7.330610275268555
V6,10.964690208435059
V6,23.938255310058594
V6,30.67119789123535
V6,18.089012145996094
V6,10.970128059387207
V6,7.470233917236328
V6,16.957855224609375
V6,16.083173751831055
V6,9.163366317749023
V6,10.866508483886719
V6,13.879500389099121
V6,17.101055145263672
V6,16.993087768554688
V6,7.121057510375977
V6,21.570411682128906
V6,25.679718017578125
V6,17.271072387695312
V6,15.654417037963867
V6,10.785890579223633
V6,19.0258846282959
V6,7.819063663482666
V6,25.326892852783203
V6,9.594786643981934
V6,24.144447326660156
V6,22.05895233154297
V6,11.490530014038086
V6,7.891080379486084
V6,11.048688888549805
V6,15.81567096710205
V6,16.22993278503418
V6,15.53884220123291
V6,13.652817726135254
V6,7.24451208114624
V6,11.0228910446167
V6,29.371389389038086
V6,10.123176574707031
V6,10.837540626525879
V6,18.08163070678711
V6,15.822762489318848
V6,31.554847717285156
V6,26.005870819091797
V6,15.840688705444336
V6,8.988851547241211
V6,7.545690536499023
V6,10.189547538757324
V6,15.678193092346191
V6,19.050886154174805
V6,12.450215339660645
V6,16.410552978515625
V6,18.595966339111328
V6,16.575401306152344
V6,18.95049285888672
V6,15.459145545959473
V6,8.6549654006958
V6,13.665573120117188
V6,9.543201446533203
V6,14.65701961517334
V6,19.715967178344727
V6,30.33428955078125
V6,11.875772476196289
V6,13.423277854919434
V6,9.959846496582031
V6,12.214754104614258
V6,9.937548637390137
V6,12.001782417297363
V6,9.091330528259277
V6,7.788202285766602
V6,19.1575984954834
V6,12.386183738708496
V6,19.76869010925293
V6,10.28862476348877
V6,13.384001731872559
V6,16.2567195892334
V6,23.321170806884766
V6,10.479063987731934
V6,16.44268798828125
V6,13.081637382507324
V6,20.877378463745117
V6,14.770047187805176
V6,14.170790672302246
V6,21.222055435180664
V6,12.351395606994629
V6,27.161375045776367
V6,12.098753929138184
V6,8.889443397521973
V6,17.64116096496582
V6,7.058746814727783
V6,10.50635051727295
V6,15.411515235900879
V6,12.250134468078613
V6,15.955013275146484
V6,9.031634330749512
V6,22.40804100036621
V6,22.101097106933594
V6,10.276284217834473
V6,17.747915267944336
V6,10.36370849609375
V6,13.486931800842285
V6,13.178439140319824
V6,14.146567344665527
V6,14.867613792419434
V6,7.51875114440918
V6,8.84097957611084
V6,20.93198013305664
V6,12.091501235961914
V6,11.304145812988281
V6,10.119853973388672
V6,7.216890811920166
