,precision,recall,f1-score,support
V6,0.16666666666666666,0.1111111111111111,0.13333333333333333,9.0
V8,0.3333333333333333,0.07692307692307693,0.125,13.0
inline-4,0.23076923076923078,0.3,0.2608695652173913,10.0
inline-6,0.3125,0.38461538461538464,0.3448275862068966,13.0
single-cylinder,0.23809523809523808,0.35714285714285715,0.2857142857142857,14.0
accuracy,0.2542372881355932,0.2542372881355932,0.2542372881355932,0.2542372881355932
macro avg,0.2562728937728938,0.24595848595848596,0.22994895409438137,59.0
weighted avg,0.26333659278574534,0.2542372881355932,0.2358721063197215,59.0
