class,norm_mode,norm_factor,centroid_hz,peak_hz,band_low_50-200_pct,band_mid_200-800_pct,band_high_800-3000_pct
V6,refhz,0.2732367515563965,3341.8265235558506,53.8330078125,4.254948309893122,14.04332694748064,34.660488460165006
V8,refhz,0.3524604141712188,3448.9976380217913,53.8330078125,5.540498718062878,12.577580776384645,31.983430976234764
inline-4,refhz,0.223743051290512,2805.112131229236,53.8330078125,8.151408140427586,14.644587486338045,36.383138714100625
inline-6,refhz,0.3704687654972076,3320.1474516074104,53.8330078125,4.632451076002094,13.48024705996055,35.44390405682116
single-cylinder,refhz,0.3736222088336944,3724.041598483652,236.865234375,4.88701784313492,15.069017898089154,28.121002346802065
