freq_hz,V6,V8,inline-4,inline-6,single-cylinder
0.0,9.101265056813064e-09,8.715690941072278e-09,1.0428778992806582e-08,7.538617767211695e-09,8.944235074408155e-09
10.7666015625,0.5421858284803819,0.649575926624445,0.9698229294135218,0.49520459913140424,0.34878406015116764
21.533203125,0.7667665142866115,0.9186390621352241,1.3715368126388685,0.7003250537030035,0.4932551526197405
32.2998046875,0.9390933154048992,1.1250984961116075,1.6797824489438735,0.857719440209691,0.6041116863386728
43.06640625,1.0843716569607638,1.2991518532488902,1.9396458588270435,0.9904091982628085,0.6975681203023353
53.8330078125,1.1742971219104428,1.403191058400595,2.087797504678944,1.0730941658221964,0.7587439610212624
64.599609375,1.1411276284032466,1.347419619605248,1.9737345141324676,1.045077379546032,0.7513047512336002
75.3662109375,1.1064546943469589,1.2879585348598233,1.8511550540114778,1.015746767180959,0.7435256588246922
86.1328125,1.0700200386025593,1.223835166952759,1.7175812256720586,0.9848837599366547,0.7353709486585804
96.8994140625,1.031472887460974,1.1534515937746823,1.5688364452364156,0.9521948948219149,0.7267931600078202
107.666015625,1.017727379022336,1.1156868380446163,1.4675133941457237,0.9445237497072813,0.7423893931735202
118.4326171875,1.0303071320497224,1.1163134758238817,1.4290491558454794,0.9626380907078982,0.7809095565245697
129.19921875,1.0412331441016789,1.1141711034836783,1.3863000429832768,0.978591440389244,0.8167176783073608
139.9658203125,1.050632701533457,1.1092490670825423,1.3386762509472108,0.9926331779379222,0.8503531357302624
150.732421875,1.0585681932012725,1.10131788410355,1.28504891928428,1.0049052886004992,0.88218309136206
161.4990234375,1.0545643992607574,1.0889670065189438,1.2388751301852494,1.0110133088845197,0.910343415454218
172.265625,1.044722993478401,1.072980344577216,1.1917804040747668,1.0128564624082195,0.9354205471129082
183.0322265625,1.0325992680870963,1.0534631693666376,1.1379799138762725,1.0118749541966858,0.9585202016386952
193.798828125,1.0178880412342348,1.02968856077004,1.0755879631374785,1.0078167503816509,0.9799743648259058
204.5654296875,1.0,1.0,1.0,1.0,1.0
215.33203125,0.9885193597419979,0.9862351076289071,0.984673471619516,0.999476947267323,1.0029251761291527
226.0986328125,0.9753791977229375,0.9713072445364518,0.9671311799781848,0.9971293237825931,1.004576251082723
236.865234375,0.9602996366612625,0.9546651960845245,0.9463125956451164,0.9926169280683435,1.0053112941136493
247.6318359375,0.9429854202042166,0.9360166553236013,0.9220230484666746,0.9855872505775745,1.0051581435309713
258.3984375,0.9230288393578571,0.9136744099682337,0.8956097118495449,0.9736399764167736,0.9973795297176343
269.1650390625,0.9013172447161438,0.8851891526979543,0.8729457237234254,0.9537052477988467,0.9654209914091298
279.931640625,0.8778198236009627,0.8550887240797426,0.8483731289387741,0.9320991155163811,0.9317849756247288
290.6982421875,0.8522394654452994,0.8230623841542408,0.8215811079242542,0.9084142066013247,0.8961812141506991
301.46484375,0.824049464328408,0.7886410212766822,0.7920342012083537,0.8819291716452005,0.8582016244969461
312.2314453125,0.8006841832469778,0.7582442270645795,0.7648793464623913,0.8555267536002512,0.821143411083045
322.998046875,0.784870353339069,0.7340877676771084,0.7427483536286237,0.8317433801289355,0.7862244401050007
333.7646484375,0.7680170181966043,0.7087198029460515,0.7195953258384106,0.8066244604460074,0.74924168525944
344.53125,0.7499728957504026,0.6819462366600604,0.6952612902362163,0.7798950338870114,0.7097641712347951
355.2978515625,0.730501573682548,0.653505074869728,0.6695265352801858,0.7511350171898683,0.6671653765458339
366.064453125,0.71986018351922,0.6340212143649968,0.6492358846822759,0.728428559580187,0.6376642270789213
376.8310546875,0.712692445625712,0.6179910488289584,0.630859568294459,0.7080102766749453,0.6132578072298402
387.59765625,0.7049998014900026,0.6012554401688598,0.6116385712502752,0.6866368714850105,0.5875052575717606
398.3642578125,0.6967186079344664,0.583719898070529,0.5914069943527674,0.664135669034884,0.5601410772117436
409.130859375,0.6877516277819758,0.5652583508933118,0.5699144903191724,0.6402532276705674,0.5307861386917319
419.8974609375,0.6952290194565972,0.5605515917538155,0.5620227234614233,0.6300777121856888,0.5200693867858647
430.6640625,0.7029185005209249,0.5561983151721682,0.5543870314379977,0.6201588963732141,0.5096468515071892
441.4306640625,0.7102081802697642,0.551646799179714,0.5464218387012256,0.6099127100446479,0.4987040030770504
452.197265625,0.7171182369171003,0.5468847832882613,0.538073865701703,0.5993019072117968,0.4871656222248934
462.9638671875,0.7260779092839853,0.5432302277009411,0.5307673413944405,0.5899555372999266,0.4773149288874783
473.73046875,0.7435534423814916,0.5444661271882753,0.5288419183781278,0.5866758792164891,0.47600122392840644
484.4970703125,0.7603057228468862,0.5456026744437058,0.5267683782144719,0.5832349693331977,0.4743861632915442
495.263671875,0.7764250618216845,0.5466402076875967,0.5245385624724695,0.5796214246968575,0.47245849998097567
506.0302734375,0.7919800106977254,0.5475781350343112,0.5221425811357628,0.575821730564452,0.47019821274865325
516.796875,0.8097732143262263,0.5495572314938288,0.522146577101968,0.5753090150012844,0.4711783365948291
527.5634765625,0.8301295964880746,0.5528308241187309,0.5250757202296187,0.5787881764340047,0.4761353503371427
538.330078125,0.8497493647680093,0.5560390979358494,0.5278472224904699,0.5820797001400303,0.4807792828101792
549.0966796875,0.8687232120575408,0.5591842936550957,0.5304692756152423,0.5851871659173626,0.48513067374052177
559.86328125,0.8871222529270405,0.562268060100744,0.532948073351554,0.58811214244153,0.4892031232189763
570.6298828125,0.8972079241700534,0.5617548106984852,0.5356030931975201,0.5913767975513218,0.49226964457339234
581.396484375,0.9036969105736458,0.5596979658328097,0.5381858526546072,0.5947325565091226,0.4948582882502953
592.1630859375,0.9099887503730242,0.5576187138680243,0.5405588571856328,0.5979668034471283,0.49730813921164607
602.9296875,0.9160977864608327,0.5555164629184917,0.5427306981179398,0.6010818310449575,0.4996236244664757
613.6962890625,0.9220367256583113,0.5533903674333023,0.5447075358994274,0.6040790470883413,0.5018075358222803
624.462890625,0.9179817772185564,0.5487722643067002,0.5476695791488354,0.6062868573387751,0.5013225190941686
635.2294921875,0.9131408055404794,0.5439499183578319,0.5504556666863358,0.6084088731045272,0.5006458248399238
645.99609375,0.9080773826871358,0.5390619153808163,0.5530078237022333,0.6104857995044434,0.4999261367502292
656.7626953125,0.9027871458014479,0.53410538050256,0.5553355073165476,0.6125178778732203,0.4991629363465497
667.529296875,0.8959435681888384,0.5287904588711776,0.5569839099756765,0.6135770958570959,0.4976244111180623
678.2958984375,0.8831872285212183,0.5221601982444841,0.556479086245072,0.6106407363797334,0.49292416389952004
689.0625,0.870042485502226,0.5154091506703231,0.5557968749146696,0.6076341887280768,0.48814658361331836
699.8291015625,0.8564756360609334,0.5085295370803247,0.5549345454075624,0.6045537122143272,0.4832875623141405
710.595703125,0.8424464328407959,0.5015133247408451,0.5538889675502235,0.6013958879302808,0.47834287240777673
721.3623046875,0.8295730049963436,0.49603977775878105,0.5523064650337639,0.5978111425677481,0.47377639265129246
732.12890625,0.8185312681603925,0.4926540650832373,0.5501388531656912,0.5936619153496026,0.4697432278926137
742.8955078125,0.8072349040782242,0.4891928024339014,0.5478531271965327,0.5893753284665778,0.46564294010512025
753.662109375,0.7956630801072911,0.48565252305204304,0.5454453910592386,0.584946796559436,0.46147233865167353
764.4287109375,0.7837901644622605,0.4820286186852037,0.5429099838016848,0.5803696024791186,0.4572273554699206
775.1953125,0.7746438163481489,0.48112945984770444,0.5400321555400541,0.5763781277077249,0.4540574973551612
785.9619140625,0.7667587156795846,0.48146505900381087,0.5369603231191554,0.5726190180268169,0.45137265596851334
796.728515625,0.7587334036916751,0.4817239244148513,0.5337947852907419,0.5687504630609495,0.44863772157878135
807.4951171875,0.7505584457059886,0.4819061406359169,0.5305331111753722,0.564769164569267,0.4458505803888605
818.26171875,0.7422228800441171,0.4820104393406428,0.5271701726164163,0.5606696925210941,0.44300883942089603
829.0283203125,0.739639632368211,0.48677406177882443,0.5263170005318631,0.5601856957868352,0.44247018010588274
839.794921875,0.7374199742940459,0.4917727896474804,0.5255973603180045,0.5599592836188684,0.44206453047660693
850.5615234375,0.7350983889713951,0.4966411758433884,0.5248104213733046,0.5597014979403291,0.4416072722916058
861.328125,0.7326693137574845,0.5013848432800984,0.523954585311281,0.5594099656266992,0.44109736859380877
872.0947265625,0.7303781593629528,0.5060621349703874,0.5231056422909618,0.5593333016380432,0.440333769360487
882.861328125,0.7291551414525521,0.510877420569159,0.522538714585583,0.5604140386323757,0.4385367227578016
893.6279296875,0.7277993836155517,0.515593015715663,0.521902723264289,0.5614739403978918,0.4366603489392448
904.39453125,0.7263067411377281,0.5202129790542666,0.5211991668144066,0.5625122024856024,0.4347024942247473
915.1611328125,0.7246723603405819,0.524740946453882,0.5204293772246711,0.5635287444506093,0.4326606061045982
925.927734375,0.722670517906038,0.5275021775049804,0.5191928254824363,0.5647718996958297,0.42951304256684836
936.6943359375,0.7202358800493525,0.5278644537922916,0.5173356668887982,0.566323118681405,0.424840753306238
947.4609375,0.7176814272301616,0.5281746441435579,0.5154225314685669,0.5678327074317974,0.42004789784473257
958.2275390625,0.7150013241271229,0.5284327062812342,0.5134533193225879,0.5693003843898603,0.4151261007598421
968.994140625,0.7121890264546201,0.5286384710951382,0.511427530955085,0.5707258277759986,0.4100657103742211
979.7607421875,0.708688051792349,0.5260102452021538,0.5080609294271075,0.5714675297438981,0.4042766582319516
990.52734375,0.704801182421525,0.5218646359239576,0.5039836453095149,0.5718362489380269,0.398056271831436
1001.2939453125,0.7008096590165419,0.5175976478126568,0.49984785358673284,0.5721589536499821,0.3916929847700519
1012.060546875,0.6967067736846421,0.5132031929017015,0.4956502575866414,0.5724345980960782,0.3851757095837407
1022.8271484375,0.6924840733902365,0.5086742531185398,0.49138925892275925,0.5726629409416187,0.37849100571355376
1033.59375,0.6906074449538322,0.5045597601138248,0.4875108407233177,0.5729311844570159,0.37375538230573147
1044.3603515625,0.6892180385816176,0.5004561324383007,0.48367814303720874,0.5731607741984893,0.36943625669345803
1055.126953125,0.6877433928892409,0.49623125276230895,0.4797824089842109,0.5733290649269974,0.36504673764930295
