freq_hz,data_mean_magnitude,model_inversion_magnitude
0.0,4.164864009226221e-09,1.933910143137041e-09
10.7666015625,0.33121001720428467,0.0830913707613945
21.533203125,0.4684016704559326,0.11750894039869308
32.2998046875,0.5736725330352783,0.1439184546470642
43.06640625,0.6624200344085693,0.166182741522789
53.8330078125,0.7110880613327026,0.18039847910404205
64.599609375,0.6638913750648499,0.17717812955379486
75.3662109375,0.6130720376968384,0.1738981157541275
86.1328125,0.5576404929161072,0.17055505514144897
96.8994140625,0.4960528314113617,0.16714513301849365
107.666015625,0.461337149143219,0.1677023470401764
118.4326171875,0.46089842915534973,0.17233219742774963
129.19921875,0.46045926213264465,0.1768408715724945
139.9658203125,0.46001970767974854,0.18123741447925568
150.732421875,0.4595796763896942,0.18552981317043304
161.4990234375,0.46050986647605896,0.18667009472846985
172.265625,0.46192681789398193,0.18670403957366943
183.0322265625,0.4633393883705139,0.18673793971538544
193.798828125,0.46474769711494446,0.18677183985710144
204.5654296875,0.46615180373191833,0.18680579960346222
215.33203125,0.45863956212997437,0.18452613055706024
226.0986328125,0.450832337141037,0.18217423558235168
236.865234375,0.4428876042366028,0.17979159951210022
247.6318359375,0.4347977340221405,0.17737697064876556
258.3984375,0.42454853653907776,0.17431020736694336
269.1650390625,0.40697452425956726,0.16902843117713928
279.931640625,0.38860660791397095,0.16357620060443878
290.6982421875,0.36932632327079773,0.15793587267398834
301.46484375,0.34898245334625244,0.1520865261554718
312.2314453125,0.33460137248039246,0.1467301845550537
322.998046875,0.3278144598007202,0.14200924336910248
333.7646484375,0.320884108543396,0.1371259242296219
344.53125,0.31380072236061096,0.132062166929245
355.2978515625,0.3065537214279175,0.12679632008075714
366.064453125,0.3017919063568115,0.1230209618806839
376.8310546875,0.2980085611343384,0.11981584131717682
387.59765625,0.29417651891708374,0.11652257293462753
398.3642578125,0.2902939021587372,0.1131334900856018
409.130859375,0.28635871410369873,0.1096397116780281
419.8974609375,0.2852514386177063,0.10863765329122543
430.6640625,0.28424859046936035,0.10772442817687988
441.4306640625,0.28324222564697266,0.10680341720581055
452.197265625,0.28223222494125366,0.10587437450885773
462.9638671875,0.2825937569141388,0.10521436482667923
473.73046875,0.28809186816215515,0.1055993139743805
484.4970703125,0.29348698258399963,0.10598283261060715
495.263671875,0.29878467321395874,0.10636496543884277
506.0302734375,0.3039900064468384,0.10674570500850677
516.796875,0.31298065185546875,0.10750164091587067
527.5634765625,0.3261833190917969,0.10869929939508438
538.330078125,0.33887192606925964,0.10988390445709229
549.0966796875,0.3511022925376892,0.1110558807849884
559.86328125,0.36292076110839844,0.11221563071012497
570.6298828125,0.36792129278182983,0.11285599321126938
581.396484375,0.37009432911872864,0.11327569931745529
592.1630859375,0.3722546398639679,0.11369386315345764
602.9296875,0.3744025230407715,0.11411048471927643
613.6962890625,0.3765381872653961,0.11452558636665344
624.462890625,0.3696012794971466,0.11423427611589432
635.2294921875,0.3619912266731262,0.11390126496553421
645.99609375,0.35421767830848694,0.1135672852396965
656.7626953125,0.3462696969509125,0.11323230713605881
667.529296875,0.3385927975177765,0.11269582808017731
678.2958984375,0.332718163728714,0.1112985834479332
689.0625,0.3267379105091095,0.10988356918096542
699.8291015625,0.32064613699913025,0.10845009237527847
710.595703125,0.3144364356994629,0.10699743032455444
721.3623046875,0.3093757629394531,0.1055058091878891
732.12890625,0.30589717626571655,0.10396793484687805
742.8955078125,0.30237847566604614,0.10240697860717773
753.662109375,0.2988184690475464,0.10082187503576279
764.4287109375,0.2952154278755188,0.0992114245891571
775.1953125,0.2913765013217926,0.09778124839067459
785.9619140625,0.2873956561088562,0.09642770141363144
796.728515625,0.28335893154144287,0.09505489468574524
807.4951171875,0.2792638838291168,0.09366196393966675
818.26171875,0.27510783076286316,0.09224799275398254
829.0283203125,0.27661246061325073,0.09150220453739166
839.794921875,0.27855101227760315,0.09080468863248825
850.5615234375,0.2804763615131378,0.09010184556245804
861.328125,0.2823883295059204,0.08939339220523834
872.0947265625,0.28427669405937195,0.08871618658304214
882.861328125,0.28610026836395264,0.08821140229701996
893.6279296875,0.2879123389720917,0.08770375698804855
904.39453125,0.28971314430236816,0.08719316124916077
915.1611328125,0.2915027439594269,0.08667955547571182
925.927734375,0.29185712337493896,0.08618266880512238
936.6943359375,0.29021942615509033,0.08571063727140427
947.4609375,0.2885724604129791,0.08523599058389664
958.2275390625,0.28691601753234863,0.0847586840391159
