class,EVR_at_5,test_recon_MSE,n_train_clips
V6,0.9412941932678223,1105.95263671875,46
V8,0.9397946000099182,1147.3675537109375,50
inline-4,0.9432885050773621,1349.509521484375,47
inline-6,0.9298425316810608,1241.7772216796875,47
single-cylinder,0.9180716276168823,1072.259033203125,45
