,V6,V8,inline-4,inline-6,single-cylinder
V6,0.0,39.915936,65.29348,65.04759,54.937485
V8,39.915936,0.0,30.91747,34.93114,23.234547
inline-4,65.29348,30.91747,0.0,37.49272,35.34671
inline-6,65.04759,34.93114,37.49272,0.0,27.696753
single-cylinder,54.937485,23.234547,35.34671,27.696753,0.0
