class,r,median_deg,p25_deg,p75_deg,n_train_clips
V6,5,13.159552097320557,10.254327297210693,17.631983757019043,46
V8,5,11.704331398010254,9.177802324295044,15.187585830688477,50
inline-4,5,11.714062690734863,8.722034215927124,17.33155107498169,47
inline-6,5,20.991686820983887,15.850035667419434,27.78318452835083,47
single-cylinder,5,14.707412242889404,11.527441263198853,18.69930076599121,45
