,precision,recall,f1-score,support
V6,0.125,0.125,0.125,8.0
V8,0.25,0.1,0.14285714285714285,10.0
inline-4,0.36363636363636365,0.3076923076923077,0.3333333333333333,13.0
inline-6,0.16666666666666666,0.15384615384615385,0.16,13.0
single-cylinder,0.34782608695652173,0.5714285714285714,0.43243243243243246,14.0
accuracy,0.27586206896551724,0.27586206896551724,0.27586206896551724,0.27586206896551724
macro avg,0.2506258234519104,0.25159340659340657,0.23872458172458172,58.0
weighted avg,0.26316387260915,0.27586206896551724,0.25682687613722094,58.0
