freq_hz,data_mean_magnitude,model_inversion_magnitude
0.0,4.3523709081227935e-09,2.7099142929642994e-09
10.7666015625,0.3199998438358307,0.1106114387512207
21.533203125,0.4525481164455414,0.15642818808555603
32.2998046875,0.5542559623718262,0.19158461689949036
43.06640625,0.6399996876716614,0.2212228775024414
53.8330078125,0.687659502029419,0.24045337736606598
64.599609375,0.6448863744735718,0.23743896186351776
75.3662109375,0.5990670323371887,0.23438580334186554
86.1328125,0.5494399070739746,0.23129236698150635
96.8994140625,0.49486061930656433,0.22815698385238647
107.666015625,0.4660414755344391,0.23118902742862701
118.4326171875,0.4689282476902008,0.2403736561536789
129.19921875,0.47179731726646423,0.24922002851963043
139.9658203125,0.4746490716934204,0.25776299834251404
150.732421875,0.47748374938964844,0.2660316824913025
161.4990234375,0.4903249442577362,0.2706484794616699
172.265625,0.5062901377677917,0.2739793360233307
183.0322265625,0.5217670202255249,0.2772701382637024
193.798828125,0.5367978811264038,0.2805223762989044
204.5654296875,0.551419198513031,0.28373733162879944
215.33203125,0.556361973285675,0.2822358310222626
226.0986328125,0.5610886812210083,0.2806382477283478
236.865234375,0.565775990486145,0.27903151512145996
247.6318359375,0.5704247951507568,0.27741551399230957
258.3984375,0.568817138671875,0.2743038535118103
269.1650390625,0.5454644560813904,0.2659807503223419
279.931640625,0.5210662484169006,0.2573886513710022
290.6982421875,0.49546805024147034,0.24849966168403625
301.46484375,0.46847325563430786,0.23928068578243256
312.2314453125,0.44700533151626587,0.23020638525485992
322.998046875,0.4327400028705597,0.22135615348815918
333.7646484375,0.4179881513118744,0.21213707327842712
344.53125,0.40269631147384644,0.20249873399734497
355.2978515625,0.3868003785610199,0.19237813353538513
366.064453125,0.3749541938304901,0.184732586145401
376.8310546875,0.36462387442588806,0.17798832058906555
387.59765625,0.3539922535419464,0.17097821831703186
398.3642578125,0.34303122758865356,0.16366812586784363
409.130859375,0.33170831203460693,0.15601591765880585
419.8974609375,0.3238840699195862,0.15255683660507202
430.6640625,0.31601616740226746,0.14919216930866241
441.4306640625,0.3079473674297333,0.14574986696243286
452.197265625,0.2996613383293152,0.1422242522239685
462.9638671875,0.2923637926578522,0.13908617198467255
473.73046875,0.2895843982696533,0.13770829141139984
484.4970703125,0.2867780327796936,0.1363164633512497
495.263671875,0.28394389152526855,0.13491028547286987
506.0302734375,0.2810811698436737,0.13348925113677979
516.796875,0.28110045194625854,0.13274800777435303
527.5634765625,0.2845745384693146,0.13283662497997284
538.330078125,0.2880066931247711,0.13292519748210907
549.0966796875,0.29139846563339233,0.13301372528076172
559.86328125,0.29475122690200806,0.1331021636724472
570.6298828125,0.29623648524284363,0.13300074636936188
581.396484375,0.29693037271499634,0.13281771540641785
592.1630859375,0.2976226508617401,0.13263444602489471
602.9296875,0.29831328988075256,0.1324509084224701
613.6962890625,0.29900237917900085,0.13226711750030518
624.462890625,0.29800790548324585,0.13176299631595612
635.2294921875,0.2969123423099518,0.13123837113380432
645.99609375,0.2958126962184906,0.1307116150856018
656.7626953125,0.2947089970111847,0.13018277287483215
667.529296875,0.2936572730541229,0.12947021424770355
678.2958984375,0.29284101724624634,0.12797707319259644
689.0625,0.2920224368572235,0.1264662742614746
699.8291015625,0.29120156168937683,0.12493722885847092
710.595703125,0.2903784215450287,0.12338925153017044
721.3623046875,0.28919607400894165,0.12180955708026886
732.12890625,0.28754541277885437,0.12019334733486176
742.8955078125,0.28588512539863586,0.11855509132146835
753.662109375,0.28421521186828613,0.11689391732215881
764.4287109375,0.2825354039669037,0.11520876735448837
775.1953125,0.28066712617874146,0.11371328681707382
785.9619140625,0.2787023186683655,0.11229929327964783
796.728515625,0.2767236530780792,0.11086728423833847
807.4951171875,0.27473074197769165,0.10941652208566666
818.26171875,0.2727232277393341,0.10794626921415329
829.0283203125,0.2746930718421936,0.10727996379137039
839.794921875,0.2769577205181122,0.10667437314987183
850.5615234375,0.2792041599750519,0.10606537759304047
861.328125,0.28143244981765747,0.1054527759552002
872.0947265625,0.2836815118789673,0.10489300638437271
882.861328125,0.28609374165534973,0.1046011820435524
893.6279296875,0.28848588466644287,0.10430857539176941
904.39453125,0.2908583879470825,0.10401516407728195
915.1611328125,0.2932116687297821,0.10372091084718704
925.927734375,0.29405081272125244,0.10346432775259018
936.6943359375,0.29279962182044983,0.10326090455055237
947.4609375,0.29154300689697266,0.10305707156658173
958.2275390625,0.2902809977531433,0.10285282135009766
