,precision,recall,f1-score,support
V6,0.0,0.0,0.0,16.0
V8,0.6,0.16666666666666666,0.2608695652173913,18.0
inline-4,0.22448979591836735,0.6111111111111112,0.3283582089552239,18.0
inline-6,0.5,0.05555555555555555,0.1,18.0
single-cylinder,0.3,0.5,0.375,18.0
accuracy,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727
macro avg,0.3248979591836735,0.2666666666666667,0.21284555483452303,88.0
weighted avg,0.3322820037105751,0.2727272727272727,0.2176829538080349,88.0
