engine_configuration,bootstrap,theta_max_deg,r_ref,r_used,n_train_clips,n_sampled_clips,n_frames_sampled
inline-6,12,13.704532623291016,3,3,42,29,1450
inline-6,13,6.807863712310791,3,3,42,29,1450
inline-6,14,17.86717987060547,3,3,42,29,1450
inline-6,15,15.103484153747559,3,3,42,29,1450
inline-6,16,8.971434593200684,3,3,42,29,1450
inline-6,17,12.504510879516602,3,3,42,29,1450
inline-6,18,10.448922157287598,3,3,42,29,1450
inline-6,19,11.356085777282715,3,3,42,29,1450
inline-6,20,19.181873321533203,3,3,42,29,1450
inline-6,21,8.674821853637695,3,3,42,29,1450
inline-6,22,15.294590950012207,3,3,42,29,1450
inline-6,23,6.573695182800293,3,3,42,29,1450
inline-6,24,6.121509552001953,3,3,42,29,1450
inline-6,25,5.1808857917785645,3,3,42,29,1450
inline-6,26,10.337040901184082,3,3,42,29,1450
inline-6,27,8.637199401855469,3,3,42,29,1450
inline-6,28,7.378711223602295,3,3,42,29,1450
inline-6,29,15.112800598144531,3,3,42,29,1450
inline-6,30,5.318576812744141,3,3,42,29,1450
inline-6,31,9.703485488891602,3,3,42,29,1450
inline-6,32,7.439569473266602,3,3,42,29,1450
inline-6,33,9.919405937194824,3,3,42,29,1450
inline-6,34,22.916032791137695,3,3,42,29,1450
inline-6,35,6.0508713722229,3,3,42,29,1450
inline-6,36,16.211618423461914,3,3,42,29,1450
inline-6,37,7.2446208000183105,3,3,42,29,1450
inline-6,38,18.56496810913086,3,3,42,29,1450
inline-6,39,7.1724443435668945,3,3,42,29,1450
inline-6,40,9.711343765258789,3,3,42,29,1450
inline-6,41,13.60042953491211,3,3,42,29,1450
inline-6,42,7.920403003692627,3,3,42,29,1450
inline-6,43,11.048884391784668,3,3,42,29,1450
inline-6,44,6.8570380210876465,3,3,42,29,1450
inline-6,45,4.925730228424072,3,3,42,29,1450
inline-6,46,6.121765613555908,3,3,42,29,1450
inline-6,47,5.294796466827393,3,3,42,29,1450
inline-6,48,11.852267265319824,3,3,42,29,1450
inline-6,49,7.57763671875,3,3,42,29,1450
inline-6,50,7.610791206359863,3,3,42,29,1450
inline-6,51,11.4142484664917,3,3,42,29,1450
inline-6,52,8.822806358337402,3,3,42,29,1450
inline-6,53,8.821003913879395,3,3,42,29,1450
inline-6,54,10.30894947052002,3,3,42,29,1450
inline-6,55,5.578648090362549,3,3,42,29,1450
inline-6,56,23.285993576049805,3,3,42,29,1450
inline-6,57,10.104876518249512,3,3,42,29,1450
inline-6,58,5.237607479095459,3,3,42,29,1450
inline-6,59,9.659967422485352,3,3,42,29,1450
inline-6,60,8.123204231262207,3,3,42,29,1450
inline-6,61,13.171502113342285,3,3,42,29,1450
inline-6,62,5.149552345275879,3,3,42,29,1450
inline-6,63,8.800691604614258,3,3,42,29,1450
