engine_configuration,median_theta_max_deg,iqr25_deg,iqr75_deg,r_ref,B_effective,train_clips
V6,17.889872550964355,10.808359384536743,25.000208377838135,3,100,38
V8,12.265563011169434,8.354319095611572,15.928778171539307,3,100,42
inline-4,8.083867073059082,6.667026162147522,11.151262283325195,4,100,42
inline-6,9.327864646911621,6.844744443893433,12.553160667419434,3,100,42
single-cylinder,11.965185642242432,9.140603065490723,18.571261882781982,4,100,41
