,V6,V8,inline-4,inline-6,single-cylinder
V6,0.0,6.488485,7.9742002,8.615616,6.526813
V8,6.488485,0.0,7.1438513,9.521961,6.6832285
inline-4,7.9742002,7.1438513,0.0,4.5469146,9.41242
inline-6,8.615616,9.521961,4.5469146,0.0,11.028926
single-cylinder,6.526813,6.6832285,9.41242,11.028926,0.0
