class_i,class_j,r_i,r_j,r_common,theta_min_deg,theta_mean_deg,theta_median_deg,theta_max_deg,metric_value_deg
V6,V6,5,5,5,0.0,0.02431749925017357,0.02797645330429077,0.03956468030810356,0.02797645330429077
V6,V8,5,6,5,1.7047909498214722,9.0629301071167,6.488484859466553,20.897865295410156,6.488484859466553
V6,inline-4,5,6,5,2.6420466899871826,16.97150993347168,7.974200248718262,56.21288299560547,7.974200248718262
V6,inline-6,5,5,5,1.41471529006958,16.780176162719727,8.615615844726562,53.802181243896484,8.615615844726562
V6,single-cylinder,5,6,5,2.0622246265411377,19.69603157043457,6.52681303024292,69.83663940429688,6.52681303024292
V8,V8,6,6,6,0.0,0.01844952069222927,0.013988226652145386,0.048456642776727676,0.013988226652145386
V8,inline-4,6,6,6,1.722719430923462,11.108647346496582,7.143851280212402,31.50665283203125,7.143851280212402
V8,inline-6,6,5,5,1.72861647605896,16.60776710510254,9.521961212158203,46.628536224365234,9.521961212158203
V8,single-cylinder,6,6,6,1.364153265953064,10.939464569091797,6.683228492736816,28.44251251220703,6.683228492736816
inline-4,inline-4,6,6,6,0.0,0.013988226652145386,0.013988226652145386,0.02797645330429077,0.013988226652145386
inline-4,inline-6,6,5,5,1.7853119373321533,21.391273498535156,4.546914577484131,89.9802017211914,4.546914577484131
inline-4,single-cylinder,6,6,6,1.466070294380188,14.316787719726562,9.412420272827148,39.32600784301758,9.412420272827148
inline-6,inline-6,5,5,5,0.0,0.02795044705271721,0.02797645330429077,0.04423465579748154,0.02797645330429077
inline-6,single-cylinder,5,6,5,2.105799674987793,21.226781845092773,11.028925895690918,69.9444351196289,11.028925895690918
single-cylinder,single-cylinder,6,6,6,0.0,0.01921665482223034,0.02387939766049385,0.03956468030810356,0.02387939766049385
