,precision,recall,f1-score,support
no,0.48470588235294115,0.4779582366589327,0.48130841121495327,431.0
yes,0.5398773006134969,0.546583850931677,0.5432098765432098,483.0
accuracy,0.5142231947483589,0.5142231947483589,0.5142231947483589,0.5142231947483589
macro avg,0.512291591483219,0.5122710437953049,0.5122591438790816,914.0
weighted avg,0.5138610191361451,0.5142231947483589,0.5140200170722268,914.0
