,precision,recall,f1-score,support
no,0.448,0.12993039443155452,0.2014388489208633,431.0
yes,0.5247148288973384,0.8571428571428571,0.6509433962264151,483.0
accuracy,0.5142231947483589,0.5142231947483589,0.5142231947483589,0.5142231947483589
macro avg,0.4863574144486692,0.4935366257872058,0.42619112257363917,914.0
weighted avg,0.48853967435165696,0.5142231947483589,0.43897790400683867,914.0
